,년,월,시간,주야,요일,시도,시군구,사고유형_대분류,면허경과년수,가해자법규위반,성별,연령,사망여부,가해자음주농도,보호장구,안전모_착용여부,도로종류,도로형태_대분류,도로형태,도로선형_대분류,도로선형_중분류,도로선형,교차로형태_대분류,교차로형태,노면상태_대분류,노면상태,기상상태,어린이보호구역여부,시도군구,exists,long,lat
115906,2018,7,16,주,목,경상북도,경주시,차대차,15~,안전운전 의무 불이행,남,65,1,0,안전모,미착용,시도,교차로,교차로횡단보도내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경상북도경주시,1,129.227022222222,35.8531694444444
115918,2018,7,19,야,목,전라북도,군산시,차량단독,미상,안전운전 의무 불이행,남,62,1,0,안전모,착용,시도,단일로,터널안,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도군산시,1,126.738844444444,35.9646416666666
115935,2018,7,1,야,금,경기도,성남시,차량단독,미상,안전운전 의무 불이행,남,29,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경기도성남시,1,127.147719444444,37.4474916666666
115992,2018,7,5,야,토,충청북도,청주시,차대차,1~4,안전운전 의무 불이행,남,20,1,0.10%~0.14%,안전모,,시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,충청북도청주시,1,127.511730555555,36.5839972222222
116048,2018,7,4,야,일,부산시,사상구,차량단독,5~9,안전운전 의무 불이행,남,24,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시사상구,1,128.993333333333,35.1494666666666
116058,2018,7,12,주,일,충청북도,충주시,차량단독,10~14,안전운전 의무 불이행,남,32,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청북도충주시,1,127.928144444444,36.9881805555555
116136,2018,7,10,주,화,경상남도,김해시,차대차,5~9,안전운전 의무 불이행,남,23,1,0,안전모,착용,일반국도,교차로,교차로부근,커브ㆍ곡각 ,좌,내리막,교차로,교차로 - 삼지,포장,건조,맑음,N,경상남도김해시,1,128.891666666666,35.2255055555555
116164,2018,7,17,주,화,경기도,용인시,차량단독,미상,안전운전 의무 불이행,남,73,1,0,안전모,,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,비포장,건조,맑음,N,경기도용인시,1,127.203844444444,37.2314777777777
116205,2018,7,18,야,수,충청남도,천안시,차대차,미상,안전운전 의무 불이행,남,74,1,0,안전모,착용,지방도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,충청남도천안시,1,127.152466666666,36.804125
116227,2018,7,0,야,목,서울시,용산구,차량단독,5~9,안전운전 의무 불이행,남,51,1,0,안전모,착용,특별광역시도,단일로,터널안,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시용산구,1,126.967522222222,37.5360944444444
116258,2018,7,19,야,목,광주시,서구,차대차,미상,신호위반,남,38,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,광주시서구,1,126.88950628089,35.1525164004977
116311,2018,7,20,야,금,충청북도,영동군,차량단독,5~9,안전운전 의무 불이행,여,51,1,0,안전모,착용,군도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청북도영동군,1,127.785611111111,36.1720583333333
116356,2018,7,17,주,토,전라남도,나주시,차량단독,10~14,안전운전 의무 불이행,남,75,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,전라남도나주시,1,126.712866666666,35.0128388888888
116389,2018,7,7,주,일,경기도,수원시,차량단독,10~14,안전운전 의무 불이행,남,31,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도수원시,1,127.012222222222,37.3010111111111
116391,2018,7,10,주,일,충청북도,청주시,차량단독,15~,중앙선 침범,여,61,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청북도청주시,1,127.511730555555,36.5839972222222
116428,2018,7,21,야,일,서울시,서초구,차대차,15~,중앙선 침범,남,59,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시서초구,1,127.034811111111,37.4807861111111
116442,2018,7,6,주,월,충청북도,제천시,차대차,미상,안전운전 의무 불이행,남,67,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,오르막,교차로,교차로 - 삼지,포장,건조,맑음,N,충청북도제천시,1,128.193152777777,37.1297694444444
116460,2018,7,13,주,월,강원도,춘천시,차대차,1~4,신호위반,남,94,1,0,안전모,미착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,강원도춘천시,1,127.732311111111,37.8785416666666
